"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","139.065mm","-98.425mm","top","0.0"
"C2","142.875mm","-73.025mm","top","0.0"
"C3","123.825mm","-86.36mm","top","270.0"
"C4","119.38mm","-74.295mm","top","0.0"
"D1","146.05mm","-97.79mm","top","90.0"
"D2","154.94mm","-119.38mm","top","180.0"
"D3","154.305mm","-100.965mm","top","180.0"
"D4","154.305mm","-83.185mm","top","180.0"
"D5","131.445mm","-87.63mm","top","180.0"
"D6","131.445mm","-80.645mm","top","0.0"
"FB1","116.84mm","-83.82mm","top","180.0"
"J1","142.24mm","-141.605mm","top","180.0"
"J2","103.505mm","-103.505mm","top","270.0"
"J3","103.505mm","-114.975mm","top","270.0"
"J4","176.53mm","-123.825mm","top","90.0"
"J5","176.53mm","-114.935mm","top","90.0"
"J6","176.53mm","-106.045mm","top","90.0"
"J7","176.53mm","-97.155mm","top","90.0"
"J8","105.260mm","-83.820mm","top","0.0"
"J9","147.32mm","-104.775mm","top","180.0"
"J10","176.53mm","-88.265mm","top","90.0"
"J11","176.53mm","-79.375mm","top","90.0"
"J12","119.42mm","-137.16mm","top","0.0"
"L1","142.875mm","-86.36mm","top","270.0"
"Q1","113.03mm","-111.76mm","top","180.0"
"Q2","163.83mm","-121.285mm","top","180.0"
"Q3","163.83mm","-114.935mm","top","180.0"
"Q4","170.18mm","-121.285mm","top","180.0"
"Q5","170.18mm","-114.935mm","top","180.0"
"Q6","163.83mm","-103.505mm","top","180.0"
"Q7","163.83mm","-97.155mm","top","180.0"
"Q8","170.18mm","-103.505mm","top","180.0"
"Q9","170.18mm","-97.155mm","top","180.0"
"Q10","163.83mm","-85.725mm","top","180.0"
"Q11","163.83mm","-79.375mm","top","180.0"
"Q12","170.18mm","-85.725mm","top","180.0"
"Q13","170.18mm","-79.375mm","top","180.0"
"R1","144.145mm","-97.79mm","top","270.0"
"R2","154.94mm","-117.475mm","top","0.0"
"R3","154.305mm","-99.06mm","top","0.0"
"R4","154.305mm","-81.28mm","top","0.0"
"R5","131.445mm","-85.725mm","top","0.0"
"R7","111.125mm","-108.585mm","top","0.0"
"R9","138.43mm","-113.665mm","top","90.0"
"R10","147.955mm","-113.665mm","top","90.0"
"R11","109.855mm","-111.125mm","top","270.0"
"R12","121.92mm","-99.06mm","top","270.0"
"R13","167.005mm","-120.015mm","top","270.0"
"R14","167.005mm","-113.03mm","top","270.0"
"R15","162.56mm","-118.11mm","top","0.0"
"R16","162.56mm","-111.76mm","top","0.0"
"R17","159.385mm","-121.285mm","top","270.0"
"R18","159.385mm","-114.935mm","top","270.0"
"R19","167.005mm","-102.235mm","top","270.0"
"R20","167.005mm","-95.885mm","top","270.0"
"R21","161.925mm","-100.965mm","top","0.0"
"R22","161.925mm","-93.98mm","top","0.0"
"R23","159.385mm","-103.505mm","top","270.0"
"R24","159.385mm","-97.155mm","top","270.0"
"R25","167.005mm","-84.455mm","top","270.0"
"R26","167.005mm","-78.105mm","top","270.0"
"R27","144.78mm","-102.87mm","top","270.0"
"R28","161.29mm","-83.185mm","top","0.0"
"R29","161.29mm","-76.835mm","top","0.0"
"R30","159.385mm","-85.725mm","top","270.0"
"R31","159.385mm","-79.375mm","top","270.0"
"U1","139.065mm","-102.87mm","top","90.0"
"U4","130.81mm","-74.295mm","top","0.0"
"U2","137.16mm","-121.285mm","top","270.0"
"U3","146.685mm","-121.285mm","top","270.0"
"D7","133.35mm","-112.395mm","top","90.0"
"D8","142.875mm","-112.395mm","top","90.0"
"R32","135.255mm","-112.395mm","top","270.0"
"R33","144.78mm","-112.395mm","top","270.0"
"J13","126.365mm","-100.33mm","top","90.0"
